label,volume,sphericity,theta,phi,elongation,centroid,closest_distance,closest_wall
1,332.0,0.5416215567843695,179.70768972651402,110.77459740675354,26.18940468758674,"(6.132530120481928, 15.162650602409638, 155.53614457831324)",6.132530120481928,front
2,1086.0,0.6397700766222841,78.5662281760314,85.58144885873931,7.273291817972864,"(4.551565377532229, 166.37845303867402, 241.7965009208103)",3.256796994514496,membrane
3,339332.0,0.6199316987532819,90.65217552622444,90.70481556869413,60.58596268508818,"(25.46470418351349, 260.00067780227033, 23.033023705397664)",23.033023705397664,left
4,67.0,0.8510122518043995,86.01905209490222,100.87045357501283,31.125114557992347,"(0.3880597014925373, 201.73134328358208, 241.56716417910448)",0.3880597014925373,front
5,11403.0,0.17214556856743343,-96.55580917046363,95.7286154655145,17.81008247032978,"(13.713321055862492, 254.13698149609752, 241.26957818118038)",4.741079975200761,membrane
6,5023.0,0.21531569795926697,-178.2100554107108,88.70988929241324,752.8785637830542,"(62.6551861437388, 452.8210232928529, 228.18614373880152)",23.44046368689767,membrane
7,6627.0,0.2572062956236731,178.73188135550146,55.384839804030555,306.40416926055525,"(39.138524219103665, 457.8029274181379, 64.42145767315527)",39.138524219103665,front
8,34532.0,0.17069475420051472,-179.9331394651139,90.02905981941231,28208.26088195173,"(318.12165527626547, 508.1168770995019, 34.72164948453608)",3.8831229004981083,top
9,402.0,0.5494116677217196,177.9583411140999,73.44974969140782,13.340228601210006,"(10.634328358208956, 457.7910447761194, 179.59701492537314)",10.634328358208956,front
10,143.0,0.41609036675895733,-94.2955298062225,83.57577740350652,31.78475242382875,"(16.132867132867133, 221.24475524475525, 243.07692307692307)",2.936313590721613,membrane
11,280.0,0.4499200060115433,-162.6199714415175,80.70789960599707,42.70478704224366,"(29.478571428571428, 18.37142857142857, 222.42857142857142)",18.37142857142857,bottom
12,60.0,0.6352564799044743,174.94979910277794,102.3752097632501,3.9033870097750105,"(32.63333333333333, 458.03333333333336, 123.46666666666667)",32.63333333333333,front
13,75.0,0.4805800716269551,-89.01021624197027,90.5706042059882,23.73355848733242,"(32.24, 233.02666666666667, 243.98666666666668)",2.0277628614367544,membrane
14,314.0,0.6716798977102684,178.38794265480723,87.57797431086068,3.546221100218341,"(42.13694267515923, 457.5, 181.11783439490446)",42.13694267515923,front
15,421.0,0.3575773921467762,-152.58859035512515,87.69720378707613,71.97219969706889,"(52.75296912114014, 33.33729216152019, 219.20902612826603)",26.79423578408732,membrane
16,127.0,0.6457070483867966,34.60477182044674,82.8665511649782,4.799581942208901,"(46.01574803149607, 318.6771653543307, 246.51181102362204)",1.830484280551299,membrane
17,214.0,0.45476328274635447,93.58051522605882,96.69100260032634,37.65996253321793,"(44.771028037383175, 229.78504672897196, 242.0841121495327)",3.996857115358768,membrane
18,65.0,0.5718001987700381,141.22979556107376,96.68962151574958,7.813664060814223,"(51.49230769230769, 55.92307692307692, 226.27692307692308)",18.84475976005534,membrane
19,63.0,0.5217795613448543,88.88055402265033,90.9157241881142,8.200264337565994,"(52.476190476190474, 268.0, 245.20634920634922)",1.855785693225001,membrane
20,179.0,0.36388295464481596,89.245130112583,78.70943622725572,149.39547306557338,"(52.56983240223464, 220.91061452513966, 242.41899441340783)",3.607857388601656,membrane
21,65.0,0.4593967886767568,153.69164150633858,119.14453462842206,16.978829346497754,"(59.93846153846154, 447.4769230769231, 232.30769230769232)",19.69817821150145,membrane
22,292.0,0.5452511226435561,-169.57027411085906,90.81321949351798,12.28261070988661,"(63.52739726027397, 228.57876712328766, 243.98287671232876)",2.114137375783686,membrane
23,1128.0,0.42394630172142567,-179.09106203123685,76.27637397998738,116.33395241319595,"(82.25443262411348, 457.84840425531917, 117.61258865248227)",54.15159574468083,top
24,82.0,0.5951919408563809,175.7439227975731,97.26767742140493,4.511877605399934,"(70.4390243902439, 14.829268292682928, 144.03658536585365)",14.829268292682928,bottom
25,70.0,0.4443248669669204,119.78860681997062,91.49237919916392,33.72104995279739,"(77.01428571428572, 293.8142857142857, 245.68571428571428)",1.3274188548934156,membrane
26,230.0,0.694804341851052,165.4890100987836,79.29984904614192,3.551719690424547,"(87.76086956521739, 357.9260869565217, 45.03478260869565)",45.03478260869565,left
27,212.0,0.5730056596226156,-173.6485285278502,88.74325697185412,14.683071874605092,"(97.44811320754717, 49.91509433962264, 243.42924528301887)",2.390192596406701,membrane
28,133.0,0.6439534511382823,-179.3901668770536,98.49289030909809,9.104592870630066,"(101.84962406015038, 14.962406015037594, 55.4812030075188)",14.962406015037594,bottom
29,77.0,0.6191071257953886,153.40868980569718,76.55225328705073,4.0918081990817265,"(104.02597402597402, 65.12987012987013, 225.57142857142858)",19.44806387268458,membrane
30,359584.0,0.5390392075678071,-91.45159648518353,90.93971481451283,59.79770882638595,"(145.67887614576844, 214.61200442733826, 23.426645790691467)",23.426645790691467,left
31,1117.0,0.4545298729088919,-130.18551377220345,91.28029479916773,83.17386244352922,"(121.6284691136974, 278.21217547000896, 244.8898836168308)",2.1530547554740536,membrane
32,303.0,0.7076187633896804,125.76598859842889,118.59385170393249,2.4807016574716245,"(117.92409240924093, 252.94059405940595, 86.27722772277228)",86.27722772277228,left
33,296.0,0.5046320597295698,-179.1921682664807,77.51362299520882,37.183111915696,"(143.0608108108108, 14.533783783783784, 151.57432432432432)",14.533783783783784,bottom
